Año,Mes,Empresa agrupada,Origen aeropuerto,Destino aeropuerto,Origen país,Origen localidad,Vuelos,Pasajeros,Asientos
2025,Enero,Copa Airlines,Aeropuerto Int. Ingeniero Ambrosio Taravella,Tocumen International Airport,Argentina,Córdoba,69,10317,10646
2025,Enero,Copa Airlines,Aeropuerto Int. Ministro Pistarini,Tocumen International Airport,Argentina,Buenos Aires,151,24460,25202
2025,Enero,Delta Air Lines,Hartsfield Jackson Atlanta International Airport,Aeropuerto Int. Ministro Pistarini,Estados Unidos,Atlanta,41,9267,11677
2025,Enero,Delta Air Lines,John F Kennedy International Airport,Aeropuerto Int. Ministro Pistarini,Estados Unidos,Nueva York,22,4691,6194
2025,Enero,Delta Air Lines,Aeropuerto Int. Ministro Pistarini,Hartsfield Jackson Atlanta International Airport,Argentina,Buenos Aires,44,12021,12532
2025,Enero,Delta Air Lines,Aeropuerto Int. Ministro Pistarini,John F Kennedy International Airport,Argentina,Buenos Aires,31,8481,8723
2025,Enero,Emirates Airline,Aeropuerto Int. Ministro Pistarini,Rio Galeão – Tom Jobim International Airport,Argentina,Buenos Aires,22,6729,7790
2025,Enero,Emirates Airline,Rio Galeão – Tom Jobim International Airport,Aeropuerto Int. Ministro Pistarini,Brasil,Río de Janeiro,17,4361,6020
2025,Enero,Ethiopian Airlines,Aeropuerto Int. Ministro Pistarini,Guarulhos - Governador André Franco Montoro International Airport,Argentina,Buenos Aires,29,8517,9309
2025,Enero,Ethiopian Airlines,Guarulhos - Governador André Franco Montoro International Airport,Aeropuerto Int. Ministro Pistarini,Brasil,São Paulo,23,5012,7383
2025,Enero,Flybondi,Aeroparque Jorge Newbery,Rio Galeão – Tom Jobim International Airport,Argentina,Buenos Aires,22,3973,4149
2025,Enero,Flybondi,Aeropuerto Int. Ministro Pistarini,Hercílio Luz International Airport,Argentina,Buenos Aires,50,8669,9324
2025,Enero,Flybondi,Aeropuerto Int. Ministro Pistarini,Rio Galeão – Tom Jobim International Airport,Argentina,Buenos Aires,69,12386,12816
2025,Enero,Flybondi,Hercílio Luz International Airport,Aeropuerto Int. Ministro Pistarini,Brasil,Florianópolis,32,4933,5976
2025,Enero,Flybondi,Rio Galeão – Tom Jobim International Airport,Aeroparque Jorge Newbery,Brasil,Río de Janeiro,29,4624,5472
2025,Enero,Flybondi,Rio Galeão – Tom Jobim International Airport,Aeropuerto Int. Ministro Pistarini,Brasil,Río de Janeiro,56,8534,10386
2025,Enero,Gol Transportes Aéreos,Aeroparque Jorge Newbery,Hercílio Luz International Airport,Argentina,Buenos Aires,29,4810,5307
2025,Enero,Gol Transportes Aéreos,Aeroparque Jorge Newbery,Guarulhos - Governador André Franco Montoro International Airport,Argentina,Buenos Aires,117,20130,21501
2025,Enero,Gol Transportes Aéreos,Aeropuerto Int. Ministro Pistarini,Tancredo Neves International Airport,Argentina,Buenos Aires,9,1433,1647
2025,Enero,Gol Transportes Aéreos,Aeropuerto Int. Ministro Pistarini,Rio Galeão – Tom Jobim International Airport,Argentina,Buenos Aires,77,13162,14223
2025,Enero,Gol Transportes Aéreos,Aeropuerto Int. Ministro Pistarini,Guarulhos - Governador André Franco Montoro International Airport,Argentina,Buenos Aires,38,6301,7023
2025,Enero,Gol Transportes Aéreos,Aeropuerto Int. Ministro Pistarini,Governador Aluízio Alves International Airport,Argentina,Buenos Aires,10,1667,1824
2025,Enero,Gol Transportes Aéreos,Aeropuerto Int. Ministro Pistarini,El Dorado International Airport,Argentina,Buenos Aires,29,4663,5394
2025,Enero,Gol Transportes Aéreos,Tancredo Neves International Airport,Aeropuerto Int. Ministro Pistarini,Brasil,Belo Horizonte,9,1295,1656
2025,Enero,Gol Transportes Aéreos,Hercílio Luz International Airport,Aeroparque Jorge Newbery,Brasil,Florianópolis,29,4517,5289
2025,Enero,Gol Transportes Aéreos,Hercílio Luz International Airport,Aeropuerto Int. Ministro Pistarini,Brasil,Florianópolis,73,10690,13348
2025,Enero,Gol Transportes Aéreos,Rio Galeão – Tom Jobim International Airport,Aeropuerto Int. Ministro Pistarini,Brasil,Río de Janeiro,70,10945,12921
2025,Enero,Gol Transportes Aéreos,Guarulhos - Governador André Franco Montoro International Airport,Aeroparque Jorge Newbery,Brasil,São Paulo,115,16061,21147
2025,Enero,Gol Transportes Aéreos,Guarulhos - Governador André Franco Montoro International Airport,Aeropuerto Int. Ministro Pistarini,Brasil,São Paulo,41,4351,7581
2025,Enero,Gol Transportes Aéreos,Governador Aluízio Alves International Airport,Aeropuerto Int. Ministro Pistarini,Brasil,Natal,7,991,1266
2025,Enero,Gol Transportes Aéreos,El Dorado International Airport,Aeropuerto Int. Ministro Pistarini,Colombia,Bogotá,30,4033,5580
2025,Enero,ITA Airways,Leonardo da Vinci (Fiumicino) International Airport,Aeropuerto Int. Ministro Pistarini,Italia,Roma,35,10187,11690
2025,Enero,ITA Airways,Aeropuerto Int. Ministro Pistarini,Leonardo da Vinci (Fiumicino) International Airport,Argentina,Buenos Aires,40,12599,13360
2025,Enero,Iberia Airlines,Adolfo Suárez Madrid–Barajas Airport,Aeropuerto Int. Ministro Pistarini,España,Madrid,86,26642,29501
2025,Enero,Iberia Airlines,Aeropuerto Int. Ministro Pistarini,Adolfo Suárez Madrid–Barajas Airport,Argentina,Buenos Aires,90,30450,30929
2025,Enero,JetSMART Airlines,Aeroparque Jorge Newbery,Hercílio Luz International Airport,Argentina,Buenos Aires,49,7127,9114
2025,Enero,JetSMART Airlines,Aeroparque Jorge Newbery,Rio Galeão – Tom Jobim International Airport,Argentina,Buenos Aires,31,4632,5766
2025,Enero,JetSMART Airlines,Aeroparque Jorge Newbery,Comodoro Arturo Merino Benítez International Airport,Argentina,Buenos Aires,63,11023,13446
2025,Enero,JetSMART Airlines,Aeroparque Jorge Newbery,Silvio Pettirossi International Airport,Argentina,Buenos Aires,15,1818,2790
2025,Enero,JetSMART Airlines,Aeroparque Jorge Newbery,Jorge Chávez International Airport,Argentina,Buenos Aires,31,4613,5766
2025,Enero,JetSMART Airlines,Aeropuerto Int. Ministro Pistarini,Rio Galeão – Tom Jobim International Airport,Argentina,Buenos Aires,57,8759,10602
