Año;Trimestre;País de residencia;Provincia visitada;Turistas no residentes*;Noches;Gasto en US$**;Casos Muestrales***;Paso
2019;3;Brasil;Mendoza;7853;42295;4791095.0;105;Ezeiza y Aeroparque
2019;3;Chile;Mendoza;104;936;44496.6;2;Ezeiza y Aeroparque
2019;3;EE.UU. y Canadá;Mendoza;4824;29947;3113558.7;78;Ezeiza y Aeroparque
2019;3;Europa;Mendoza;8240;58977;3977155.4;146;Ezeiza y Aeroparque
2019;3;Paraguay;Mendoza;420;1580;163681.8;7;Ezeiza y Aeroparque
2019;3;Resto de América;Mendoza;2192;14264;786953.7;34;Ezeiza y Aeroparque
2019;3;Resto del mundo;Mendoza;691;4842;709910.1;4;Ezeiza y Aeroparque
2019;3;Uruguay;Mendoza;976;7971;429597.4;16;Ezeiza y Aeroparque
2019;4;Bolivia;Mendoza;33;231;18081.9;1;Ezeiza y Aeroparque
2019;4;Brasil;Mendoza;4996;23069;3269200.0;71;Ezeiza y Aeroparque
2019;4;Chile;Mendoza;276;812;37784.8;4;Ezeiza y Aeroparque
2019;4;EE.UU. y Canadá;Mendoza;4147;21109;2396265.4;50;Ezeiza y Aeroparque
2019;4;Europa;Mendoza;13066;88645;6679803.1;162;Ezeiza y Aeroparque
2019;4;Paraguay;Mendoza;613;2881;430481.7;11;Ezeiza y Aeroparque
2019;4;Resto de América;Mendoza;4261;63361;3038000.6;56;Ezeiza y Aeroparque
2019;4;Resto del mundo;Mendoza;2091;51435;2328419.7;11;Ezeiza y Aeroparque
2019;4;Uruguay;Mendoza;524;2725;377770.8;11;Ezeiza y Aeroparque
2020;1;Bolivia;Mendoza;276;1294;100709.6;5;Ezeiza y Aeroparque
2020;1;Brasil;Mendoza;5046;26497;4260297.1;74;Ezeiza y Aeroparque
2020;1;Chile;Mendoza;46;92;16954.3;1;Ezeiza y Aeroparque
2020;1;EE.UU. y Canadá;Mendoza;6037;40557;4108153.1;58;Ezeiza y Aeroparque
2020;1;Europa;Mendoza;13041;121180;8891446.0;130;Ezeiza y Aeroparque
2020;1;Paraguay;Mendoza;198;1054;93062.2;3;Ezeiza y Aeroparque
2020;1;Resto de América;Mendoza;3854;14003;1155029.2;51;Ezeiza y Aeroparque
2020;1;Resto del mundo;Mendoza;3290;11132;1463458.8;12;Ezeiza y Aeroparque
2020;1;Uruguay;Mendoza;166;772;131646.3;3;Ezeiza y Aeroparque
2021;1;Bolivia;Mendoza;28;392;7711.1;3;Ezeiza y Aeroparque
2021;1;Brasil;Mendoza;53;1430;37419.5;2;Ezeiza y Aeroparque
2021;1;Chile;Mendoza;143;1988;142916.3;8;Ezeiza y Aeroparque
2021;1;EE.UU. y Canadá;Mendoza;676;17659;887846.8;20;Ezeiza y Aeroparque
2021;1;Europa;Mendoza;615;31429;641661.2;14;Ezeiza y Aeroparque
2021;1;Resto de América;Mendoza;237;10864;155072.1;7;Ezeiza y Aeroparque
2021;4;Brasil;Mendoza;400;6052;426361.8;11;Ezeiza y Aeroparque
2021;4;Chile;Mendoza;183;6281;151489.3;6;Ezeiza y Aeroparque
2021;4;EE.UU. y Canadá;Mendoza;1663;25318;1683968.7;25;Ezeiza y Aeroparque
2021;4;Europa;Mendoza;2143;60939;5035720.5;34;Ezeiza y Aeroparque
2021;4;Paraguay;Mendoza;88;517;55996.7;3;Ezeiza y Aeroparque
2021;4;Resto de América;Mendoza;548;6152;557537.8;14;Ezeiza y Aeroparque
2021;4;Resto del mundo;Mendoza;135;12910;642960.1;2;Ezeiza y Aeroparque
2021;4;Uruguay;Mendoza;28;1344;15689.1;1;Ezeiza y Aeroparque
2022;1;Bolivia;Mendoza;97;1281;92289.5;2;Ezeiza y Aeroparque
2022;1;Brasil;Mendoza;1316;9664;1169265.6;22;Ezeiza y Aeroparque
2022;1;Chile;Mendoza;72;318;71086.5;2;Ezeiza y Aeroparque
2022;1;EE.UU. y Canadá;Mendoza;2812;34518;3300249.9;27;Ezeiza y Aeroparque
2022;1;Europa;Mendoza;7975;164591;6071014.9;78;Ezeiza y Aeroparque
2022;1;Paraguay;Mendoza;309;3076;383135.8;3;Ezeiza y Aeroparque
2022;1;Resto de América;Mendoza;1740;25304;1924563.5;25;Ezeiza y Aeroparque
2022;1;Resto del mundo;Mendoza;751;11474;412520.6;4;Ezeiza y Aeroparque
2022;1;Uruguay;Mendoza;95;2283;162511.0;2;Ezeiza y Aeroparque
2022;2;Bolivia;Mendoza;79;877;43091.7;4;Ezeiza y Aeroparque
2022;2;Brasil;Mendoza;3832;21216;3235243.4;61;Ezeiza y Aeroparque
2022;2;Chile;Mendoza;151;1074;260718.2;3;Ezeiza y Aeroparque
2022;2;EE.UU. y Canadá;Mendoza;3081;60225;3641475.5;34;Ezeiza y Aeroparque
2022;2;Europa;Mendoza;5854;86489;3624419.5;92;Ezeiza y Aeroparque
2022;2;Paraguay;Mendoza;242;1218;157909.3;5;Ezeiza y Aeroparque
2022;2;Resto de América;Mendoza;2184;12027;1272441.9;42;Ezeiza y Aeroparque
2022;2;Resto del mundo;Mendoza;1143;10137;870390.8;11;Ezeiza y Aeroparque
2022;3;Bolivia;Mendoza;162;552;139474.1;6;Ezeiza y Aeroparque
2022;3;Brasil;Mendoza;5935;27438;4291275.6;94;Ezeiza y Aeroparque
2022;3;Chile;Mendoza;198;1034;117340.7;4;Ezeiza y Aeroparque
2022;3;EE.UU. y Canadá;Mendoza;3642;33393;2999293.7;44;Ezeiza y Aeroparque
2022;3;Europa;Mendoza;4716;105321;4230081.8;110;Ezeiza y Aeroparque
2022;3;Paraguay;Mendoza;110;330;29896.1;2;Ezeiza y Aeroparque
2022;3;Resto de América;Mendoza;2965;23059;1748051.9;78;Ezeiza y Aeroparque
2022;3;Resto del mundo;Mendoza;304;1520;89151.7;4;Ezeiza y Aeroparque
2022;3;Uruguay;Mendoza;398;3170;311520.1;16;Ezeiza y Aeroparque
2022;4;Bolivia;Mendoza;68;408;21881.0;1;Ezeiza y Aeroparque
2022;4;Brasil;Mendoza;2273;12637;1762714.3;27;Ezeiza y Aeroparque
2022;4;Chile;Mendoza;406;708;68708.1;5;Ezeiza y Aeroparque
2022;4;EE.UU. y Canadá;Mendoza;5878;34149;3379325.3;40;Ezeiza y Aeroparque
2022;4;Europa;Mendoza;8355;73289;4511870.6;71;Ezeiza y Aeroparque
2022;4;Paraguay;Mendoza;83;249;40018.5;1;Ezeiza y Aeroparque
2022;4;Resto de América;Mendoza;3364;14394;1742889.5;61;Ezeiza y Aeroparque
2022;4;Resto del mundo;Mendoza;440;2052;220202.5;4;Ezeiza y Aeroparque
2022;4;Uruguay;Mendoza;84;756;61923.6;2;Ezeiza y Aeroparque
2023;1;Bolivia;Mendoza;97;1290;69316.9;2;Ezeiza y Aeroparque
2023;1;Brasil;Mendoza;3418;23622;2680925.1;48;Ezeiza y Aeroparque
2023;1;Chile;Mendoza;512;1142;96529.9;7;Ezeiza y Aeroparque
2023;1;EE.UU. y Canadá;Mendoza;7714;47353;5886540.8;54;Ezeiza y Aeroparque
2023;1;Europa;Mendoza;10377;132595;9005384.9;73;Ezeiza y Aeroparque
2023;1;Paraguay;Mendoza;230;1206;148127.6;5;Ezeiza y Aeroparque
2023;1;Resto de América;Mendoza;2479;12990;1556163.0;48;Ezeiza y Aeroparque
2023;1;Resto del mundo;Mendoza;1766;9619;634917.4;9;Ezeiza y Aeroparque
2023;1;Uruguay;Mendoza;199;1212;189068.2;3;Ezeiza y Aeroparque
2023;2;Bolivia;Mendoza;104;528;107421.5;3;Ezeiza y Aeroparque
2023;2;Brasil;Mendoza;4535;25126;3589663.8;47;Ezeiza y Aeroparque
2023;2;Chile;Mendoza;156;926;70526.0;2;Ezeiza y Aeroparque
2023;2;EE.UU. y Canadá;Mendoza;3034;20697;2324358.8;35;Ezeiza y Aeroparque
2023;2;Europa;Mendoza;6016;80342;4901279.2;95;Ezeiza y Aeroparque
2023;2;Paraguay;Mendoza;176;440;23521.3;2;Ezeiza y Aeroparque
2023;2;Resto de América;Mendoza;1265;9582;1237272.1;23;Ezeiza y Aeroparque
2023;2;Resto del mundo;Mendoza;604;13076;789096.8;4;Ezeiza y Aeroparque
2023;2;Uruguay;Mendoza;482;2912;484097.3;5;Ezeiza y Aeroparque
2023;3;Bolivia;Mendoza;271;6727;407730.8;5;Ezeiza y Aeroparque
2023;3;Brasil;Mendoza;5686;28656;4360066.1;49;Ezeiza y Aeroparque
2023;3;Chile;Mendoza;272;1606;152472.5;4;Ezeiza y Aeroparque
2023;3;EE.UU. y Canadá;Mendoza;3407;82145;3553397.1;37;Ezeiza y Aeroparque
2023;3;Europa;Mendoza;5201;45078;3174925.1;84;Ezeiza y Aeroparque
2023;3;Resto de América;Mendoza;4911;23565;2657633.9;85;Ezeiza y Aeroparque
2023;3;Resto del mundo;Mendoza;616;5011;211266.8;3;Ezeiza y Aeroparque
2023;3;Uruguay;Mendoza;62;186;28163.2;1;Ezeiza y Aeroparque
2023;4;Bolivia;Mendoza;92;368;67383.9;2;Ezeiza y Aeroparque
2023;4;Brasil;Mendoza;3221;16052;2119566.2;29;Ezeiza y Aeroparque
2023;4;Chile;Mendoza;682;2773;285828.3;8;Ezeiza y Aeroparque
2023;4;EE.UU. y Canadá;Mendoza;5315;30534;2305347.6;35;Ezeiza y Aeroparque
2023;4;Europa;Mendoza;8679;123126;6649730.3;79;Ezeiza y Aeroparque
2023;4;Paraguay;Mendoza;151;802;152302.2;2;Ezeiza y Aeroparque
2023;4;Resto de América;Mendoza;3979;27032;2135208.9;54;Ezeiza y Aeroparque
2023;4;Resto del mundo;Mendoza;1747;15726;561297.5;6;Ezeiza y Aeroparque
2023;4;Uruguay;Mendoza;215;574;125528.4;2;Ezeiza y Aeroparque
2024;1;Bolivia;Mendoza;127;822;38461.8;2;Ezeiza y Aeroparque
2024;1;Brasil;Mendoza;4195;25194;2695485.4;58;Ezeiza y Aeroparque
2024;1;Chile;Mendoza;408;1696;114445.1;7;Ezeiza y Aeroparque
2024;1;EE.UU. y Canadá;Mendoza;5839;106468;3692890.4;32;Ezeiza y Aeroparque
2024;1;Europa;Mendoza;11015;144668;7553474.5;63;Ezeiza y Aeroparque
2024;1;Paraguay;Mendoza;301;1466;191878.1;6;Ezeiza y Aeroparque
2024;1;Resto de América;Mendoza;3995;16446;2289552.9;70;Ezeiza y Aeroparque
2024;1;Resto del mundo;Mendoza;870;2304;122048.5;2;Ezeiza y Aeroparque
2024;1;Uruguay;Mendoza;666;3061;345228.6;8;Ezeiza y Aeroparque
2024;2;Bolivia;Mendoza;138;480;126923.4;7;Ezeiza y Aeroparque
2024;2;Brasil;Mendoza;6464;35847;5382233.3;83;Ezeiza y Aeroparque
2024;2;Chile;Mendoza;264;1038;124627.2;6;Ezeiza y Aeroparque
2024;2;EE.UU. y Canadá;Mendoza;4317;25852;2451221.9;44;Ezeiza y Aeroparque
2024;2;Europa;Mendoza;4054;24792;2099692.3;51;Ezeiza y Aeroparque
2024;2;Paraguay;Mendoza;468;1344;372316.6;14;Ezeiza y Aeroparque
2024;2;Resto de América;Mendoza;3595;14902;1647716.4;81;Ezeiza y Aeroparque
2024;2;Resto del mundo;Mendoza;963;3459;373095.3;4;Ezeiza y Aeroparque
2024;2;Uruguay;Mendoza;209;2260;109277.9;3;Ezeiza y Aeroparque
2024;3;Brasil;Mendoza;5146;25445;3212946.9;83;Ezeiza y Aeroparque
2024;3;Chile;Mendoza;45;1260;6351.9;1;Ezeiza y Aeroparque
2024;3;EE.UU. y Canadá;Mendoza;2668;18723;2099402.7;38;Ezeiza y Aeroparque
2024;3;Europa;Mendoza;3996;48311;3351236.8;68;Ezeiza y Aeroparque
2024;3;Paraguay;Mendoza;250;1229;227660.9;12;Ezeiza y Aeroparque
2024;3;Resto de América;Mendoza;3336;14680;2037820.1;93;Ezeiza y Aeroparque
2024;3;Resto del mundo;Mendoza;1012;22120;1739218.6;5;Ezeiza y Aeroparque
2024;3;Uruguay;Mendoza;839;5642;433553.6;23;Ezeiza y Aeroparque
2024;4;Bolivia;Mendoza;97;820;101854.1;4;Ezeiza y Aeroparque
2024;4;Brasil;Mendoza;4848;28052;4386612.1;74;Ezeiza y Aeroparque
2024;4;Chile;Mendoza;477;2778;177528.1;11;Ezeiza y Aeroparque
2024;4;EE.UU. y Canadá;Mendoza;5216;20437;3541311.6;52;Ezeiza y Aeroparque
2024;4;Europa;Mendoza;6805;40742;3132276.3;58;Ezeiza y Aeroparque
2024;4;Paraguay;Mendoza;140;812;195373.9;5;Ezeiza y Aeroparque
2024;4;Resto de América;Mendoza;3537;16866;3027042.8;97;Ezeiza y Aeroparque
2024;4;Resto del mundo;Mendoza;696;3132;546231.1;4;Ezeiza y Aeroparque
2024;4;Uruguay;Mendoza;490;2757;284257.0;11;Ezeiza y Aeroparque
2025;1;Bolivia;Mendoza;26;104;7741.5;2;Ezeiza y Aeroparque
2025;1;Brasil;Mendoza;3750;30927;4911266.7;87;Ezeiza y Aeroparque
2025;1;Chile;Mendoza;648;2277;302227.2;18;Ezeiza y Aeroparque
2025;1;EE.UU. y Canadá;Mendoza;4181;22424;3349309.3;36;Ezeiza y Aeroparque
2025;1;Europa;Mendoza;6197;67229;4816468.2;47;Ezeiza y Aeroparque
2025;1;Paraguay;Mendoza;66;390;92510.9;10;Ezeiza y Aeroparque
2025;1;Resto de América;Mendoza;3028;30312;3433977.5;87;Ezeiza y Aeroparque
2025;1;Resto del mundo;Mendoza;1564;11322;1090776.4;8;Ezeiza y Aeroparque
2025;2;Bolivia;Mendoza;48;304;63084.5;5;Ezeiza y Aeroparque
