Año,Mes,Empresa agrupada,Origen aeropuerto,Destino aeropuerto,Origen provincia,Vuelos,Pasajeros,Asientos
2025,Enero,Aerolíneas Argentinas,Libertador Gral. D. José De San Martín,Aeroparque Jorge Newbery,Misiones,62,5385,6143
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Martín Miguel de Güemes,Aeroparque Jorge Newbery,Salta,148,20335,22000
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Martín Miguel de Güemes,Aeropuerto Int. Ministro Pistarini,Salta,29,3278,3665
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Gdor. Horacio Guzmán,Aeroparque Jorge Newbery,Jujuy,83,8329,9306
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Gdor. Horacio Guzmán,Aeropuerto Int. Ministro Pistarini,Jujuy,11,1035,1216
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Gral. Enrique Mosconi,Aeroparque Jorge Newbery,Chubut,125,12705,14501
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Gral. Enrique Mosconi,Aeropuerto Int. Presidente Perón,Chubut,22,1813,2577
2025,Enero,Aerolíneas Argentinas,Brigadier General Antonio Parodi,Aeroparque Jorge Newbery,Chubut,29,4144,4622
2025,Enero,Aerolíneas Argentinas,Almirante Zar,Aeroparque Jorge Newbery,Chubut,71,9466,10896
2025,Enero,Aerolíneas Argentinas,Almirante Zar,Aeropuerto Int. Ministro Pistarini,Chubut,3,359,425
2025,Enero,Aerolíneas Argentinas,Gobernador Castello,Aeroparque Jorge Newbery,Río Negro,18,1562,1728
2025,Enero,Aerolíneas Argentinas,El Tehuelche,Aeroparque Jorge Newbery,Chubut,22,2919,3117
2025,Enero,Aerolíneas Argentinas,Aeropuerto Comte. Armando Tola,Aeroparque Jorge Newbery,Santa Cruz,118,18813,20251
2025,Enero,Aerolíneas Argentinas,Aeropuerto Comte. Armando Tola,Aeropuerto Int. Ministro Pistarini,Santa Cruz,62,9418,10490
2025,Enero,Aerolíneas Argentinas,Aeropuerto Comte. Armando Tola,Almirante Zar,Santa Cruz,9,867,1455
2025,Enero,Aerolíneas Argentinas,Aeropuerto Comte. Armando Tola,Aeropuerto Int. Malvinas Argentinas,Santa Cruz,80,10901,13725
2025,Enero,Aerolíneas Argentinas,Aeropuerto Comte. Armando Tola,Aeropuerto Int. Tte. Luis Candelaria,Santa Cruz,27,3995,4534
2025,Enero,Aerolíneas Argentinas,Aeropuerto Gdor. Ramon Trejo Noel,Aeroparque Jorge Newbery,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",45,6803,7699
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Piloto Civil Norberto Fernández,Aeroparque Jorge Newbery,Santa Cruz,40,6482,6854
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Malvinas Argentinas,Aeroparque Jorge Newbery,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",134,20682,23048
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Malvinas Argentinas,Aeropuerto Int. Ministro Pistarini,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",111,15889,19607
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Malvinas Argentinas,Aeropuerto Comte. Armando Tola,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",79,11358,13501
2025,Enero,Aerolíneas Argentinas,Comandante Espora,Aeroparque Jorge Newbery,Buenos Aires,91,7972,9099
2025,Enero,Aerolíneas Argentinas,Comandante Espora,Aeropuerto Int. Astor Piazolla,Buenos Aires,1,48,48
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Astor Piazolla,Aeroparque Jorge Newbery,Buenos Aires,131,15245,16611
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Astor Piazolla,Aeropuerto Int. Ingeniero Ambrosio Taravella,Buenos Aires,23,2141,2525
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Astor Piazolla,Aeropuerto Int. El Plumerillo/Gob. Francisco Gabrielli,Buenos Aires,9,814,864
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Presidente Perón,Aeroparque Jorge Newbery,Neuquén,131,16291,18712
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Presidente Perón,Aeropuerto Int. Ingeniero Ambrosio Taravella,Neuquén,17,2299,2809
