Año,Mes,tipo_visitante,Paso,País de residencia (agrup.),Viajes de turistas
2016,Noviembre,Turistas,Paso Pehuenche,Bolivia,0.960896767
2016,Noviembre,Turistas,Paso Pehuenche,Brasil,11.530761204
2016,Noviembre,Turistas,Paso Pehuenche,Chile,1290.7910809599998
2016,Noviembre,Turistas,Paso Pehuenche,EE.UU. y Canadá,5.7653806020000005
2016,Noviembre,Turistas,Paso Pehuenche,Europa,65.340980156
2016,Noviembre,Turistas,Paso Pehuenche,Paraguay,5.765380602
2016,Noviembre,Turistas,Paso Pehuenche,Resto de América,9.60896767
2016,Noviembre,Turistas,Paso Pehuenche,Resto del mundo,12.491657971
2016,Noviembre,Turistas,Paso Pehuenche,Uruguay,5.765380602
2016,Diciembre,Turistas,Aeropuerto Mendoza,Bolivia,14
2016,Diciembre,Turistas,Aeropuerto Mendoza,Brasil,508.999999911
2016,Diciembre,Turistas,Aeropuerto Mendoza,Chile,1150.999999488
2016,Diciembre,Turistas,Aeropuerto Mendoza,EE.UU. y Canadá,595
2016,Diciembre,Turistas,Aeropuerto Mendoza,Europa,467.000000001
2016,Diciembre,Turistas,Aeropuerto Mendoza,Paraguay,3
2016,Diciembre,Turistas,Aeropuerto Mendoza,Resto de América,553.000000252
2016,Diciembre,Turistas,Aeropuerto Mendoza,Resto del mundo,90.000000008
2016,Diciembre,Turistas,Aeropuerto Mendoza,Uruguay,24.000000002
2016,Diciembre,Turistas,Paso Cristo Redentor,Bolivia,720.67257525
2016,Diciembre,Turistas,Paso Cristo Redentor,Brasil,1766.128257746
2016,Diciembre,Turistas,Paso Cristo Redentor,Chile,15524.788040140002
2016,Diciembre,Turistas,Paso Cristo Redentor,EE.UU. y Canadá,544.828466889
2016,Diciembre,Turistas,Paso Cristo Redentor,Europa,1728.653283833
2016,Diciembre,Turistas,Paso Cristo Redentor,Paraguay,302.682481605
2016,Diciembre,Turistas,Paso Cristo Redentor,Resto de América,3136.367047488
2016,Diciembre,Turistas,Paso Cristo Redentor,Resto del mundo,321.900416945
2016,Diciembre,Turistas,Paso Cristo Redentor,Uruguay,222.928049944
2016,Diciembre,Turistas,Paso Pehuenche,Bolivia,5.765380602
2016,Diciembre,Turistas,Paso Pehuenche,Brasil,17.296141806
2016,Diciembre,Turistas,Paso Pehuenche,Chile,1359.364357136
2016,Diciembre,Turistas,Paso Pehuenche,EE.UU. y Canadá,13.452554738000002
2016,Diciembre,Turistas,Paso Pehuenche,Europa,56.692909253
2016,Diciembre,Turistas,Paso Pehuenche,Paraguay,5.765380602
2016,Diciembre,Turistas,Paso Pehuenche,Resto de América,12.491657971
2016,Diciembre,Turistas,Paso Pehuenche,Resto del mundo,3.8435870679999997
2016,Diciembre,Turistas,Paso Pehuenche,Uruguay,10.569864437
2016,Diciembre,Turistas,Paso Vergara,Chile,41.96490841086072
2016,Diciembre,Turistas,Paso Vergara,EE.UU. y Canadá,3.80766569504141
2016,Diciembre,Turistas,Paso Vergara,Europa,10.507860999845905
2017,Enero,Turistas,Aeropuerto Mendoza,Bolivia,14
2017,Enero,Turistas,Aeropuerto Mendoza,Brasil,1050.00000051
2017,Enero,Turistas,Aeropuerto Mendoza,Chile,1330.00000056
2017,Enero,Turistas,Aeropuerto Mendoza,EE.UU. y Canadá,1592.00000046
2017,Enero,Turistas,Aeropuerto Mendoza,Europa,1078.999999482
2017,Enero,Turistas,Aeropuerto Mendoza,Paraguay,4
2017,Enero,Turistas,Aeropuerto Mendoza,Resto de América,727
2017,Enero,Turistas,Aeropuerto Mendoza,Resto del mundo,300.999999985
2017,Enero,Turistas,Aeropuerto Mendoza,Uruguay,13
2017,Enero,Turistas,Paso Cristo Redentor,Bolivia,868.465
2017,Enero,Turistas,Paso Cristo Redentor,Brasil,2599.35
2017,Enero,Turistas,Paso Cristo Redentor,Chile,16988.185
2017,Enero,Turistas,Paso Cristo Redentor,EE.UU. y Canadá,622.635
2017,Enero,Turistas,Paso Cristo Redentor,Europa,1843.725
2017,Enero,Turistas,Paso Cristo Redentor,Paraguay,461.435
2017,Enero,Turistas,Paso Cristo Redentor,Resto de América,3078.92
2017,Enero,Turistas,Paso Cristo Redentor,Resto del mundo,445.315
2017,Enero,Turistas,Paso Cristo Redentor,Uruguay,503.75
2017,Enero,Turistas,Paso Pehuenche,Bolivia,11.082500000000001
2017,Enero,Turistas,Paso Pehuenche,Brasil,30.224999999999998
2017,Enero,Turistas,Paso Pehuenche,Chile,2821.1958
2017,Enero,Turistas,Paso Pehuenche,EE.UU. y Canadá,23.1725
2017,Enero,Turistas,Paso Pehuenche,Europa,129.9675
2017,Enero,Turistas,Paso Pehuenche,Paraguay,10.075000000000001
2017,Enero,Turistas,Paso Pehuenche,Resto de América,44.330000000000005
2017,Enero,Turistas,Paso Pehuenche,Resto del mundo,20.15
2017,Enero,Turistas,Paso Pehuenche,Uruguay,18.135
2017,Enero,Turistas,Paso Portillo de Piuquenes,EE.UU. y Canadá,1.0010828022975
2017,Enero,Turistas,Paso Portillo de Piuquenes,Europa,3.0005567020574455
2017,Enero,Turistas,Paso Vergara,Brasil,1.8097685183692593
2017,Enero,Turistas,Paso Vergara,Chile,168.78892692812687
2017,Enero,Turistas,Paso Vergara,EE.UU. y Canadá,5.0054140114875
2017,Enero,Turistas,Paso Vergara,Europa,17.00315464499219
2017,Enero,Turistas,Paso Vergara,Resto de América,1.005020218085
2017,Enero,Turistas,Paso Vergara,Resto del mundo,0.99730416045
2017,Enero,Turistas,Paso Vergara,Uruguay,0.9926108371836536
2017,Febrero,Turistas,Aeropuerto Mendoza,Bolivia,29
2017,Febrero,Turistas,Aeropuerto Mendoza,Brasil,511.999999917
2017,Febrero,Turistas,Aeropuerto Mendoza,Chile,2197
2017,Febrero,Turistas,Aeropuerto Mendoza,EE.UU. y Canadá,1014.00000042
2017,Febrero,Turistas,Aeropuerto Mendoza,Europa,857.00000008
2017,Febrero,Turistas,Aeropuerto Mendoza,Paraguay,13
2017,Febrero,Turistas,Aeropuerto Mendoza,Resto de América,1029.9999997
2017,Febrero,Turistas,Aeropuerto Mendoza,Resto del mundo,183.000000051
2017,Febrero,Turistas,Aeropuerto Mendoza,Uruguay,27
2017,Febrero,Turistas,Paso Cristo Redentor,Bolivia,809.0224999999999
2017,Febrero,Turistas,Paso Cristo Redentor,Brasil,1149.5575
2017,Febrero,Turistas,Paso Cristo Redentor,Chile,20585.683
2017,Febrero,Turistas,Paso Cristo Redentor,EE.UU. y Canadá,536.9975000000001
2017,Febrero,Turistas,Paso Cristo Redentor,Europa,1521.325
2017,Febrero,Turistas,Paso Cristo Redentor,Paraguay,283.1075
2017,Febrero,Turistas,Paso Cristo Redentor,Resto de América,2152.02
2017,Febrero,Turistas,Paso Cristo Redentor,Resto del mundo,225.68
2017,Febrero,Turistas,Paso Cristo Redentor,Uruguay,460.4275
2017,Febrero,Turistas,Paso Pehuenche,Bolivia,13.0975
2017,Febrero,Turistas,Paso Pehuenche,Brasil,23.1725
2017,Febrero,Turistas,Paso Pehuenche,Chile,2875.8945999999996
2017,Febrero,Turistas,Paso Pehuenche,EE.UU. y Canadá,14.105
2017,Febrero,Turistas,Paso Pehuenche,Europa,78.58500000000001
2017,Febrero,Turistas,Paso Pehuenche,Paraguay,19.1425
2017,Febrero,Turistas,Paso Pehuenche,Resto de América,17.1275
2017,Febrero,Turistas,Paso Pehuenche,Resto del mundo,12.09
2017,Febrero,Turistas,Paso Pehuenche,Uruguay,59.442499999999995
2017,Febrero,Turistas,Paso Portillo de Piuquenes,Brasil,1.944120603136583
2017,Febrero,Turistas,Paso Portillo de Piuquenes,Chile,1.71092168685598
2017,Febrero,Turistas,Paso Portillo de Piuquenes,EE.UU. y Canadá,4.00093750186
2017,Febrero,Turistas,Paso Portillo de Piuquenes,Europa,10.009279187507289
